infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6709/5350    0.006    0.000    0.590    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      469    0.006    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
     3960    0.006    0.000    0.029    0.000 copy.py:226(_deepcopy_dict)
    10505    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x908780}
     1089    0.005    0.000    0.033    0.000 vector.py:117(__truediv__)
     2096    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
    47234    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     3168    0.005    0.000    0.009    0.000 {method 'as_matrix' of 'scipy.spatial.transform.rotation.Rotation' objects}
     1294    0.005    0.000    0.061    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     1782    0.005    0.000    0.114    0.000 projector.py:38(<listcomp>)
     1782    0.005    0.000    0.113    0.000 projector.py:39(<listcomp>)
    40121    0.005    0.000    0.005    0.000 {built-in method builtins.min}
 1577/230    0.005    0.000    0.014    0.000 sre_compile.py:71(_compile)
     9811    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2178    0.005    0.000    0.017    0.000 tokenize.py:429(_tokenize)
     3766    0.005    0.000    0.072    0.000 __init__.py:299(loads)
    26334    0.005    0.000    0.005    0.000 vector.py:35(y)
     3960    0.005    0.000    0.005    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
     1048    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     9811    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
   1313/9    0.004    0.000    1.260    0.140 <frozen importlib._bootstrap>:986(_find_and_load)
      144    0.004    0.000    0.010    0.000 __init__.py:313(namedtuple)
    21102    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
     2347    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3863    0.004    0.000    0.006    0.000 codecs.py:319(decode)
     3796    0.004    0.000    0.004    0.000 {built-in method _locale.nl_langinfo}
    44189    0.004    0.000    0.004    0.000 {built-in method builtins.id}
   1261/9    0.004    0.000    1.259    0.140 <frozen importlib._bootstrap>:650(_load_unlocked)
    51482    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     3796    0.004    0.000    0.008    0.000 _bootlocale.py:33(getpreferredencoding)
1673/1166    0.004    0.000    0.026    0.000 inspect.py:2218(_signature_from_callable)
     1260    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
     1592    0.004    0.000    0.005    0.000 inspect.py:2772(__init__)
     4370    0.004    0.000    0.004    0.000 {method '__reduce_ex__' of 'object' objects}
     3726    0.004    0.000    0.006    0.000 inspect.py:2489(__init__)
       99    0.004    0.000    0.073    0.001 agent.py:114(<listcomp>)
      125    0.004    0.000    1.747    0.014 __init__.py:1(<module>)
      723    0.004    0.000    0.017    0.000 inspect.py:1102(getfullargspec)
     4365    0.004    0.000    0.021    0.000 fromnumeric.py:2629(amin)
     6336    0.004    0.000    0.012    0.000 <__array_function__ internals>:2(dot)
