infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
        7    0.000    0.000    0.000    0.000 typing.py:1060(__init_subclass__)
        1    0.000    0.000    0.000    0.000 pivot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 path.py:21(Path)
        1    0.000    0.000    0.000    0.000 apply.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pslinux.py:1532(Process)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
        4    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
       20    0.000    0.000    0.000    0.000 pyparsing.py:1854(resetCache)
       82    0.000    0.000    0.000    0.000 inspect.py:80(ismethod)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
      141    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
       86    0.000    0.000    0.000    0.000 rcsetup.py:215(validate_int)
       11    0.000    0.000    0.000    0.000 nanops.py:75(__init__)
       16    0.000    0.000    0.000    0.000 pyparsing.py:4219(__init__)
       11    0.000    0.000    0.000    0.000 arrayprint.py:360(_get_formatdict)
        1    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
    34/26    0.000    0.000    0.000    0.000 pyparsing.py:4069(__str__)
       11    0.000    0.000    0.000    0.000 arrayprint.py:1347(dtype_is_implied)
        1    0.000    0.000    0.000    0.000 reshape.py:1(<module>)
       34    0.000    0.000    0.000    0.000 pathlib.py:293(splitroot)
       10    0.000    0.000    0.000    0.000 deprecation.py:97(_decorate_property)
       61    0.000    0.000    0.000    0.000 _methods.py:44(_any)
        1    0.000    0.000    0.000    0.000 legend.py:321(Legend)
        1    0.000    0.000    0.001    0.001 dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asserters.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        7    0.000    0.000    0.000    0.000 subprocess.py:939(__del__)
        8    0.000    0.000    0.000    0.000 selectors.py:21(_fileobj_to_fd)
        1    0.000    0.000    0.000    0.000 visualizer.py:1(<module>)
        2    0.000    0.000    0.001    0.000 tempfile.py:651(NamedTemporaryFile)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
        1    0.000    0.000    0.000    0.000 __init__.py:621(Misc)
        1    0.000    0.000    0.000    0.000 datetimelike.py:77(DatetimeIndexOpsMixin)
        1    0.000    0.000    0.000    0.000 quiver.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ticker.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        1    0.000    0.000    0.000    0.000 decomp.py:16(<module>)
       84    0.000    0.000    0.000    0.000 overrides.py:105(decorator)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
       17    0.000    0.000    0.000    0.000 cycler.py:112(__init__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4785(Optional)
       15    0.000    0.000    0.000    0.000 rcsetup.py:960(validate_animation_writer_path)
       22    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 connection.py:10(<module>)
        4    0.000    0.000    0.000    0.000 selectors.py:351(register)
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        6    0.000    0.000    0.000    0.000 patches.py:1864(<listcomp>)
       83    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
        1    0.000    0.000    0.000    0.000 numeric.py:82(NumericIndex)
        1    0.000    0.000    0.000    0.000 _nmf.py:1(<module>)
       19    0.000    0.000    0.000    0.000 deprecation.py:37(__call__)
        2    0.000    0.000    0.000    0.000 indexers.py:1(<module>)
      119    0.000    0.000    0.000    0.000 expr.py:196(<lambda>)
        1    0.000    0.000    0.000    0.000 _quadrature.py:1(<module>)
        1    0.000    0.000    0.000    0.000 timedeltas.py:96(TimedeltaArray)
        1    0.000    0.000    0.000    0.000 html.py:1(<module>)
        4    0.000    0.000    0.000    0.000 info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pool.py:57(RemoteTraceback)
        1    0.000    0.000    0.001    0.001 decorator.py:30(<module>)
        1    0.000    0.000    0.003    0.003 resolver.py:2(<module>)
       49    0.000    0.000    0.000    0.000 pyparsing.py:593(__getitem__)
        1    0.000    0.000    0.000    0.000 filedialog.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _regression.py:1(<module>)
      282    0.000    0.000    0.000    0.000 pyparsing.py:3128(<genexpr>)
        1    0.000    0.000    0.001    0.001 reduction.py:11(<module>)
      168    0.000    0.000    0.000    0.000 arrayprint.py:931(<genexpr>)
        2    0.000    0.000    0.000    0.000 selectors.py:347(__init__)
        1    0.000    0.000    0.006    0.006 artist.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:679(Axis)
        8    0.000    0.000    0.000    0.000 nonlin.py:216(_set_doc)
        1    0.000    0.000    0.000    0.000 _ransac.py:7(<module>)
       19    0.000    0.000    0.000    0.000 getlimits.py:521(max)
      198    0.000    0.000    0.000    0.000 rcsetup.py:51(func)
       11    0.000    0.000    0.001    0.000 arrayprint.py:369(<lambda>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 string_.py:1(<module>)
       95    0.000    0.000    0.000    0.000 cycler.py:138(keys)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:10(<module>)
       14    0.000    0.000    0.000    0.000 pathlib.py:691(_from_parsed_parts)
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
        1    0.000    0.000    0.002    0.002 ivp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
        8    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 decomp_schur.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
     23/7    0.000    0.000    0.000    0.000 pyparsing.py:4468(streamline)
        1    0.000    0.000    0.000    0.000 string_arrow.py:1(<module>)
        3    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        1    0.000    0.000    0.000    0.000 mstats.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:916(__init__)
       19    0.000    0.000    0.000    0.000 _distn_infrastructure.py:2948(__new__)
       82    0.000    0.000    0.000    0.000 _internal.py:531(advance)
        3    0.000    0.000    0.000    0.000 version.py:284(__init__)
       11    0.000    0.000    0.002    0.000 pyparsing.py:1895(parseString)
        1    0.000    0.000    0.000    0.000 _subplots.py:202(subplot_class_factory)
        1    0.000    0.000    0.001    0.001 case.py:1(<module>)
        1    0.000    0.000    0.000    0.000 accessors.py:1(<module>)
        1    0.000    0.000    0.033    0.033 contour.py:1(<module>)
        6    0.000    0.000    0.000    0.000 deprecation.py:353(<listcomp>)
        2    0.000    0.000    0.000    0.000 threading.py:761(__init__)
      3/2    0.000    0.000    0.000    0.000 posixpath.py:396(_joinrealpath)
       12    0.000    0.000    0.000    0.000 _pslinux.py:593(<listcomp>)
        2    0.000    0.000    0.000    0.000 tempfile.py:634(close)
       16    0.000    0.000    0.000    0.000 pyparsing.py:3181(parseImpl)
        1    0.000    0.000    0.000    0.000 dop853_coefficients.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:166(ones)
        6    0.000    0.000    0.000    0.000 types.py:100(prepare_class)
        1    0.000    0.000    0.001    0.001 _polynomial.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        4    0.000    0.000    0.000    0.000 pathlib.py:492(select_from)
        1    0.000    0.000    0.001    0.001 excel.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:17(<genexpr>)
        1    0.000    0.000    0.004    0.004 axis.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:452(run)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
       28    0.000    0.000    0.000    0.000 rcsetup.py:46(__init__)
       16    0.000    0.000    0.000    0.000 copyreg.py:99(_slotnames)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ode.py:2(<module>)
        1    0.000    0.000    0.000    0.000 pyplot.py:1760(get_plot_commands)
        1    0.000    0.000    0.000    0.000 _qmc.py:527(QMCEngine)
      302    0.000    0.000    0.000    0.000 __init__.py:850(__iter__)
  109/105    0.000    0.000    0.000    0.000 __init__.py:270(wrapper)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        8    0.000    0.000    0.000    0.000 selectors.py:215(_fileobj_lookup)
        1    0.000    0.000    0.001    0.001 events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:258(IndexOpsMixin)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:513(CloudPickler)
        1    0.000    0.000    0.001    0.001 cm.py:100(<dictcomp>)
       12    0.000    0.000    0.000    0.000 shutil.py:1361(_access_check)
       46    0.000    0.000    0.000    0.000 docstring.py:43(update)
       25    0.000    0.000    0.000    0.000 pyparsing.py:4824(__init__)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 afm.py:1(<module>)
        2    0.000    0.000    0.000    0.000 doccer.py:1(<module>)
       84    0.000    0.000    0.000    0.000 overrides.py:94(set_module)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(<listcomp>)
    73/29    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 patches.py:1969(BoxStyle)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
       43    0.000    0.000    0.000    0.000 dataclasses.py:468(_init_param)
        1    0.000    0.000    0.000    0.000 arraylike.py:23(OpsMixin)
        1    0.000    0.000    0.001    0.001 patches.py:3151(ArrowStyle)
       14    0.000    0.000    0.007    0.001 dataclasses.py:1010(wrap)
       19    0.000    0.000    0.000    0.000 deprecation.py:110(_update_doc)
        1    0.000    0.000    0.000    0.000 array.py:223(SparseArray)
        1    0.000    0.000    0.000    0.000 data.py:1(<module>)
      2/1    0.000    0.000    0.001    0.001 sysconfig.py:173(_expand_vars)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       18    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4421(ParseElementEnhance)
       89    0.000    0.000    0.000    0.000 docstring.py:101(do_copy)
        7    0.000    0.000    0.000    0.000 contextlib.py:479(__enter__)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _dict_learning.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dataprocessing.py:1(<module>)
       25    0.000    0.000    0.000    0.000 rcsetup.py:316(<listcomp>)
        2    0.000    0.000    0.369    0.184 __init__.py:27(<module>)
        1    0.000    0.000    0.016    0.016 _nca.py:2(<module>)
        1    0.000    0.000    0.001    0.001 _classes.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:79(bitname)
       14    0.000    0.000    0.000    0.000 pyparsing.py:4489(__str__)
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
       98    0.000    0.000    0.000    0.000 pyparsing.py:2537(streamline)
        1    0.000    0.000    0.000    0.000 slsqp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ewm.py:119(ExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 lines.py:204(Line2D)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       14    0.000    0.000    0.001    0.000 dataclasses.py:573(_cmp_fn)
        1    0.000    0.000    0.000    0.000 _distr_params.py:1(<module>)
       56    0.000    0.000    0.000    0.000 patches.py:1961(_register_style)
        1    0.000    0.000    0.015    0.015 pool.py:1(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
        1    0.000    0.000    0.001    0.001 least_squares.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:188(_update_values)
        3    0.000    0.000    0.005    0.002 platform.py:747(uname)
        1    0.000    0.000    0.000    0.000 __init__.py:404(Process)
        1    0.000    0.000    0.000    0.000 _wilcoxon_data.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       11    0.000    0.000    0.000    0.000 inspect.py:1838(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 matfuncs.py:1(<module>)
       17    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1512(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
       61    0.000    0.000    0.000    0.000 fromnumeric.py:2986(ndim)
        2    0.000    0.000    0.000    0.000 core.py:2929(__array_finalize__)
      186    0.000    0.000    0.000    0.000 {method 'ljust' of 'str' objects}
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:505(<dictcomp>)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.003    0.003 coroutines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
      210    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        9    0.000    0.000    0.000    0.000 pathlib.py:1417(is_dir)
        1    0.000    0.000    0.000    0.000 process.py:4(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:736(__mro_entries__)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       19    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
        5    0.000    0.000    0.000    0.000 tempfile.py:286(<listcomp>)
        1    0.000    0.000    0.000    0.000 os.py:46(<listcomp>)
        1    0.000    0.000    0.001    0.001 _linprog_highs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(<module>)
        9    0.000    0.000    0.000    0.000 enum.py:932(__or__)
      138    0.000    0.000    0.000    0.000 cycler.py:212(<genexpr>)
       52    0.000    0.000    0.000    0.000 _scorer.py:578(make_scorer)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
        3    0.000    0.000    0.000    0.000 util.py:1(<module>)
       16    0.000    0.000    0.000    0.000 config.py:807(is_one_of_factory)
       17    0.000    0.000    0.000    0.000 dtypes.py:897(construct_from_string)
        2    0.000    0.000    0.000    0.000 tempfile.py:377(_mkstemp_inner)
        3    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
        1    0.000    0.000    0.007    0.007 describe.py:1(<module>)
        3    0.000    0.000    0.000    0.000 blas.py:325(_get_funcs)
       33    0.000    0.000    0.000    0.000 inspect.py:1720(_signature_get_user_defined_method)
       20    0.000    0.000    0.000    0.000 deprecation.py:207(_deprecated_property)
      120    0.000    0.000    0.000    0.000 opcode.py:39(def_op)
       14    0.000    0.000    0.000    0.000 expr.py:188(_filter_nodes)
       43    0.000    0.000    0.000    0.000 dataclasses.py:402(_field_assign)
        1    0.000    0.000    0.000    0.000 glm.py:1(<module>)
        2    0.000    0.000    0.000    0.000 getlimits.py:239(_get_machar)
        1    0.000    0.000    0.025    0.025 _joblib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mlab.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:97(dtype_from_ctypes_type)
       20    0.000    0.000    0.000    0.000 deprecation.py:226(finalize)
       53    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
        2    0.000    0.000    0.000    0.000 generic.py:146(pinner)
        1    0.000    0.000    0.000    0.000 pyparsing.py:4712(OneOrMore)
       27    0.000    0.000    0.000    0.000 pyparsing.py:5081(__init__)
       18    0.000    0.000    0.000    0.000 deprecation.py:193(finalize)
       34    0.000    0.000    0.000    0.000 accessor.py:91(_create_delegator_method)
        1    0.000    0.000    0.000    0.000 _io.py:1(<module>)
      165    0.000    0.000    0.000    0.000 enum.py:506(<lambda>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:154(_add_integer_aliases)
        1    0.000    0.000    0.005    0.005 textpath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 context.py:13(<module>)
        1    0.000    0.000    0.000    0.000 sorting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle_fast.py:1(<module>)
        1    0.000    0.000    0.001    0.001 generic.py:161(SeriesGroupBy)
       16    0.000    0.000    0.000    0.000 pyparsing.py:2278(__or__)
        1    0.000    0.000    0.000    0.000 _pca.py:1(<module>)
        1    0.000    0.000    0.000    0.000 generic.py:875(DataFrameGroupBy)
        1    0.000    0.000    0.001    0.001 _page_trend_test.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _encoders.py:5(<module>)
       11    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.001    0.001 extmath.py:1(<module>)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:113(parse)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
        1    0.000    0.000    0.000    0.000 pprint.py:103(PrettyPrinter)
        7    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
      138    0.000    0.000    0.000    0.000 typing.py:1149(cast)
        4    0.000    0.000    0.000    0.000 selectors.py:365(unregister)
        1    0.000    0.000    0.000    0.000 _lda.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _ufunc_config.py:437(__init__)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:66(_bits_of)
       53    0.000    0.000    0.000    0.000 dataclasses.py:603(_is_initvar)
        1    0.000    0.000    0.000    0.000 pool.py:10(<module>)
        1    0.000    0.000    0.000    0.000 widgets.py:1(<module>)
        1    0.000    0.000    0.002    0.002 minpack.py:1(<module>)
        4    0.000    0.000    0.000    0.000 enum.py:899(_create_pseudo_member_)
        1    0.000    0.000    0.006    0.006 _numdiff.py:1(<module>)
       14    0.000    0.000    0.000    0.000 array_ops.py:399(get_array_op)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:144(<lambda>)
       14    0.000    0.000    0.000    0.000 dataclasses.py:530(<listcomp>)
        1    0.000    0.000    0.000    0.000 _theil_sen.py:2(<module>)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1771(get)
      122    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        4    0.000    0.000    0.000    0.000 polynomial.py:1153(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method posix.access}
        2    0.000    0.000    0.001    0.000 _unsupervised.py:1(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.004    0.004 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       17    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
        1    0.000    0.000    0.002    0.002 _store_backends.py:1(<module>)
       16    0.000    0.000    0.000    0.000 pyparsing.py:852(__iadd__)
        1    0.000    0.000    0.002    0.002 secrets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:12(BaseStringArrayMethods)
        1    0.000    0.000    0.000    0.000 case.py:375(TestCase)
      122    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
       27    0.000    0.000    0.000    0.000 utils.py:57(__init__)
      9/8    0.000    0.000    0.014    0.002 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        1    0.000    0.000    0.002    0.002 boolean.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_ip.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:992(__init__)
        1    0.000    0.000    0.000    0.000 kitti.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parislille3d.py:1(<module>)
        6    0.000    0.000    0.000    0.000 nanops.py:111(__call__)
        1    0.000    0.000    0.002    0.002 table.py:9(<module>)
      122    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 sslproto.py:1(<module>)
       17    0.000    0.000    0.000    0.000 dtypes.py:1139(construct_from_string)
       56    0.000    0.000    0.000    0.000 _decorators.py:436(__init__)
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
        2    0.000    0.000    0.000    0.000 decorator.py:215(decorator)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
      122    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        1    0.000    0.000    0.002    0.002 engines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nuscenes.py:1(<module>)
       30    0.000    0.000    0.002    0.000 rcsetup.py:477(validate_font_properties)
       11    0.000    0.000    0.000    0.000 pyparsing.py:5437(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 _supervised.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:488(HDFStore)
        8    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
        1    0.000    0.000    0.000    0.000 floating.py:1(<module>)
       52    0.000    0.000    0.000    0.000 common.py:17(unpack_zerodim_and_defer)
      101    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
        1    0.000    0.000    0.000    0.000 _mixins.py:69(NDArrayBackedExtensionArray)
        1    0.000    0.000    0.000    0.000 _fitpack_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:108(DatetimeIndex)
        1    0.000    0.000    0.000    0.000 xml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
        1    0.000    0.000    0.002    0.002 base_dataset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.008    0.008 reusable_executor.py:6(<module>)
       19    0.000    0.000    0.000    0.000 __init__.py:1382(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 _omp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cyaml.py:3(<module>)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
        1    0.000    0.000    0.002    0.002 staggered.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _mannwhitneyu.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dumper.py:2(<module>)
        1    0.000    0.000    0.001    0.001 compressor.py:1(<module>)
       59    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
        1    0.000    0.000    0.000    0.000 _linprog_rs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:186(_check_versions)
        1    0.000    0.000    0.000    0.000 _search.py:382(BaseSearchCV)
     20/6    0.000    0.000    0.001    0.000 pyparsing.py:4443(parseImpl)
        1    0.000    0.000    0.000    0.000 argoverse.py:1(<module>)
       29    0.000    0.000    0.000    0.000 nanops.py:77(<genexpr>)
        1    0.000    0.000    0.000    0.000 customdataset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _config.py:1(<module>)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
        7    0.000    0.000    0.000    0.000 subprocess.py:241(_cleanup)
        1    0.000    0.000    0.000    0.000 _matfuncs_sqrtm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 streams.py:1(<module>)
      129    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       44    0.000    0.000    0.000    0.000 pyparsing.py:4266(<genexpr>)
        1    0.000    0.000    0.000    0.000 lyft.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _label.py:9(<module>)
        5    0.000    0.000    0.000    0.000 doccer.py:133(_doc)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scale.py:759(_get_scale_docs)
        6    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 pyplot.py:2058(<listcomp>)
       46    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 numpy_.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _ufunc_config.py:441(__enter__)
        1    0.000    0.000    0.000    0.000 cobyla.py:1(<module>)
        1    0.000    0.000    0.006    0.006 aggregation.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:6618(__init__)
        1    0.000    0.000    0.012    0.012 _decorators.py:1(<module>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6710(<genexpr>)
        1    0.000    0.000    0.000    0.000 bdf.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ellip_harm.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _decorators.py:165(_deprecate_kwarg)
        4    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 kde.py:21(<module>)
       22    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        5    0.000    0.000    0.000    0.000 six.py:91(__get__)
        1    0.000    0.000    0.001    0.001 contingency.py:1(<module>)
        1    0.000    0.000    0.000    0.000 semantic3d.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _normalize.py:3(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
       12    0.000    0.000    0.000    0.000 pyparsing.py:5656(<lambda>)
        1    0.000    0.000    0.000    0.000 argparse.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _sag.py:1(<module>)
        1    0.000    0.000    0.000    0.000 construct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _constraints.py:1(<module>)
        1    0.000    0.000    0.000    0.000 waymo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ops.py:110(WrappedCythonOp)
        1    0.000    0.000    0.000    0.000 fitpack2.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rolling.py:757(Window)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 misc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 toronto3d.py:1(<module>)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3313(export)
       24    0.000    0.000    0.000    0.000 traceback.py:272(__getitem__)
        1    0.000    0.000    0.015    0.015 fontconfig_pattern.py:1(<module>)
